,text,pos,target
0,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ,NNP  NN  VBZ  IN  NNP  IN  NNP  IN  NNP  NNP  IN  DT  $  NNPS  NNP,0
1,ÛÏIt felt like they were my friends and I was living the story with themÛ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz,NNP  VBD  IN  PRP  VBD  PRP$  NNS  CC  PRP  VBD  VBG  DT  NN  IN  NNP  NNP  NN  VBN  NN  NNP  NNP,0
2,i absolutely adore when louis starts the songs it hits me hard but it feels good,PRP  RB  VBP  WRB  NNP  VBZ  DT  NNS  PRP  VBZ  PRP  JJ  CC  PRP  VBZ  JJ,0
3,Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L,UH  UH  :  VBG  IN  DT  NN  HYPH  VBP  PRP  VB  NNP  .  .  _SP  VB  RB  RB  VB  DT  JJ  NN  IN  DT  NNP  .  NNP,0
4,Watching Neighbours on Sky+ catching up with the Neighbs!! Xxx _Ù÷Ä_Ù÷Ä_Ù÷Ä_ÙÔÎ_ÙÈ_ÙÔ_ÙÈ Xxx,VBG  NNP  IN  JJ  VBG  RP  IN  DT  NNP  .  .  NNP  NNP  CD  NNP,1
5,"Ive seen people on the train with lamps, chairs, tvs etc  https://t.co/w6zf4pVM4I","PRP  VB  VBN  NNS  IN  DT  NN  IN  NNS  ,  NNS  ,  NNP  FW  _SP  NN",1
6,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/HzeeykJUd3","NNP  NNP  NNS  VBN  IN  NNP  NNP  :  DT  NNP  POS  JJS  JJ  NNP  NN  NN  ,  NNP  ,  VBZ  VBG  VBN  RP  NN  NNP  NNP",0
7,@_Aphmau_ the pic defines all mcd fangirls/fanboys and mcd shippers xD,NFP  IN  DT  NN  VBZ  DT  NNP  NNS  SYM  NNS  CC  NNP  NNP  NNP,1
8,@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour,DT  RB  WRB  JJ  VBZ  DT  NN  DT  NN  .  RB  VBN  PRP  RB  JJ  IN  DT  NNP  NNP  NNP  NN,1
9,Just put my ass on the line for you and this is how you repay me.,RB  VB  PRP$  NN  IN  DT  NN  IN  PRP  CC  DT  VBZ  WRB  PRP  VBP  PRP  .,1
10,will i even need sound effects for the diviners tonight,MD  PRP  RB  VB  JJ  NNS  IN  DT  NNS  NN,1
11,https://t.co/EROGWTFTYo It's a glow of satisfaction re The Glow https://t.co/7RdyMCVPKx,CD  PRP  VBZ  DT  NN  IN  NN  IN  DT  NNP  .,1
12,@giannaaa28 lmao _Ù÷â_Ù÷â dude I'm hella scared for next episode bc the ending to yesterday's,NNP  VBZ  NNP  DT  NN  PRP  VBP  JJ  JJ  IN  JJ  NN  NNP  DT  NN  IN  NN  POS,1
13,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P,NNP  NNP  :  PRP  VBP  RB  VBG  DT  NNS  CC  NN  NN  :  JJS  PRP  VBZ  JJR  IN  NNP  NNS  .,0
14,@CaribBros @JstSaleem I do but I don't understand how to get to the server to get it,NFP  JJ  PRP  VBP  CC  PRP  VBP  RB  VB  WRB  TO  VB  IN  DT  NN  TO  VB  PRP,0
15,@CraftYear2015 @isabelpascual thank you for the retweets,NNP  JJ  VBP  PRP  IN  DT  NNS,1
